season,episode,title,restaurant,location,air_date,latitude,longitude
1,1,Classics,Mac & Ernie's Roadside Eatery,"Tarpley, Texas",2007-04-23,29.6571703,-99.2764299
1,1,Classics,Brint's Diner,"Wichita, Kansas",2007-04-23,37.6922361,-97.3375448
1,1,Classics,The Mad Greek Cafe,"Baker, California",2007-04-23,35.0421963,-117.6675604
1,2,That's Italian,Pizza Palace,"Knoxville, Tennessee",2007-04-30,35.9603948,-83.9210261
1,2,That's Italian,Hullabaloo Diner,"Wellborn, Texas",2007-04-30,30.5352024,-96.3016282
1,2,That's Italian,Four Kegs Sports Pub,"Las Vegas, Nevada",2007-04-30,36.1672559,-115.1485163
1,3,Blue Plate Special,Patrick's Roadhouse,"Santa Monica, California",2007-05-07,34.0250724,-118.4965129
1,3,Blue Plate Special,Frosted Mug,"Alsip, Illinois",2007-05-07,41.6689223,-87.7386619
1,3,Blue Plate Special,The Penguin,"Charlotte, North Carolina",2007-05-07,35.2270869,-80.8431268
1,4,Breakfast,Frank's Diner,"Kenosha, Wisconsin",2007-05-21,42.5846773,-87.8212263
1,4,Breakfast,Gaffey Street Diner,"San Pedro, California",2007-05-21,33.7358518,-118.2922934
1,4,Breakfast,The Coffee Cup,"Boulder City, Nevada",2007-05-21,35.9787638,-114.8337739
1,5,BBQ,Baby Blues BBQ,"Venice, California",2007-05-28,33.995044,-118.4668875
1,5,BBQ,Louie Mueller BBQ,"Taylor, Texas",2007-05-28,32.2793121,-99.8812612
1,5,BBQ,Barbecue King Drive-In,"Charlotte, North Carolina",2007-05-28,35.2270869,-80.8431268
1,6,Local Legends,Eveready Diner,"Hyde Park, New York",2007-06-04,41.7847232,-73.9332461
1,6,Local Legends,Leo's BBQ,"Oklahoma City, Oklahoma",2007-06-04,35.4729886,-97.5170536
1,6,Local Legends,A1 Diner,"Gardiner, Maine",2007-06-04,44.230441,-69.775543
1,7,Burgers,Triple XXX Restaurant,"West Lafayette, Indiana",2007-06-11,40.4258686,-86.9080655
1,7,Burgers,Hackney's,"Glenview, Illinois",2007-06-11,42.0700662,-87.8114044
1,7,Burgers,Squeeze Inn,"Sacramento, California",2007-06-11,38.5815719,-121.4943996
1,8,House Specials,Red Arrow Diner,"Manchester, New Hampshire",2007-06-18,42.9956397,-71.4547891
1,8,House Specials,Hank's Creekside Restaurant,"Santa Rosa, California",2007-06-18,38.4404925,-122.7141049
1,8,House Specials,Voula's Offshore Café,"Seattle, Washington",2007-06-18,47.6038321,-122.3300624
1,9,Retro,South Side Soda Shop and Diner,"Goshen, Indiana",2007-07-09,41.5824086,-85.834366
1,9,Retro,Taylor's Automatic Refresher,"St. Helena, California",2007-07-09,38.5052288,-122.4700424
1,9,Retro,Byways Café,"Portland, Oregon",2007-07-09,45.5202471,-122.6741949
1,10,Worth the Trip,Big Star Diner,"Bainbridge Island, Washington",2007-07-16,47.6262725,-122.5209287
1,10,Worth the Trip,Harold's Café,"Gaffney, South Carolina",2007-07-16,35.0717945,-81.6498195
1,10,Worth the Trip,Mo Gridder's BBQ,"Bronx, New York",2007-07-16,40.8466508,-73.8785937
1,11,Diners A-Plenty,Kelly's Diner,"Somerville, Massachusetts",2007-07-23,42.3875968,-71.0994968
1,11,Diners A-Plenty,Bay Way Diner,"Linden, New Jersey",2007-07-23,40.6220478,-74.2445902
1,11,Diners A-Plenty,Beacon Drive-In,"Spartanburg, South Carolina",2007-07-23,34.9498007,-81.9320157
1,12,American Cookin' ,Rosie's Diner,"Rockford, Michigan",2007-07-30,43.119721,-85.559604
1,12,American Cookin' ,Dari-ette Drive-In,"St. Paul, Minnesota",2007-07-30,44.9504037,-93.1015026
1,12,American Cookin' ,The Russian River Pub,"Forestville, California",2007-07-30,38.4833405,-122.86158427486583
1,12,American Cookin' ,Al's Breakfast,"Minneapolis, Minnesota",2007-07-30,44.9772995,-93.2654692
2,1,Totally Fried,Falafel's Drive-In,"San Jose, California",2007-10-01,37.3361905,-121.8905833
2,1,Totally Fried,Ramona Café,"Ramona, California",2007-10-01,33.0417112,-116.8680821
2,1,Totally Fried,Silk City Diner,"Philadelphia, Pennsylvania",2007-10-01,39.9527237,-75.1635262
2,2,Route 66,Emma Jean's Holland Burger Café,"Victorville, California",2007-10-08,34.5361067,-117.2911565
2,2,Route 66,The Rock Café,"Stroud, Oklahoma",2007-10-08,35.7477749,-96.6566742
2,2,Route 66,Café on the Route,"Baxter Springs, Kansas",2007-10-08,37.0236759,-94.7355042
2,3,Seaside Eats,Evelyn's Drive-In,"Tiverton, Rhode Island",2007-10-15,41.6257406,-71.166333
2,3,Seaside Eats,Hodad's,"Ocean Beach, California",2007-10-15,32.7448067,-117.2476067
2,3,Seaside Eats,Keegan's Seafood Grille,"Indian Rocks Beach, Florida",2007-10-15,27.891338,-82.84518880012078
2,4,Local Flavors,Clanton's Café,"Vinita, Oklahoma",2007-10-22,36.6387949,-95.1543297
2,4,Local Flavors,Mike's Chili Parlor,"Seattle, Washington",2007-10-22,47.6038321,-122.3300624
2,4,Local Flavors,Duarte's Tavern,"Pescadero, California",2007-10-22,23.369259,-110.172503
2,5,Viewer's Choice,Bobby's Hawaiian Style Restaurant,"Everett, Washington",2007-10-29,47.9673056,-122.2013998
2,5,Viewer's Choice,Ted Peters Famous Smoked Fish,"South Pasadena, Florida",2007-10-29,27.7550276,-82.7376009
2,5,Viewer's Choice,Psycho Suzie's Motor Lounge,"Minneapolis, Minnesota",2007-10-29,44.9772995,-93.2654692
2,6,Real Deal BBQ,Jay Bee's Bar-B-Que,"Gardena, California",2007-11-05,33.8963593,-118.3053037
2,6,Real Deal BBQ,Smoque,"Chicago, Illinois",2007-11-05,41.8755616,-87.6244212
2,6,Real Deal BBQ,BBQ Shack,"Paola, Kansas",2007-11-05,38.5723318,-94.8786484
2,7,Talkin' Turkey,Mike's City Diner,"Boston, Massachusetts",2007-11-10,42.3602534,-71.0582912
2,7,Talkin' Turkey,Willie Bird's Restaurant,"Santa Rosa, California",2007-11-10,38.4404925,-122.7141049
2,7,Talkin' Turkey,Alpine Steakhouse,"Sarasota, Florida",2007-11-10,27.3364347,-82.5306527
2,8,One of a Kind,JT Farnham's Seafood & Grill,"Essex, Massachusetts",2007-11-19,42.6320389,-70.7828255
2,8,One of a Kind,Joe's Gizzard City,"Potterville, Michigan",2007-11-19,42.629203,-84.738874
2,8,One of a Kind,Grubstake Diner,"San Francisco, California",2007-11-19,37.7790262,-122.4199061
2,8,One of a Kind,Los Tapatios,"San Jose, California",2007-11-19,37.3361905,-121.8905833
2,9,Family Owned,El Indio,"San Diego, California",2007-11-23,32.7174209,-117.1627714
2,9,Family Owned,Charlie's Diner,"Spencer, Massachusetts",2007-11-23,42.2482063,-71.9938312
2,9,Family Owned,Paradise Pup,"Des Plaines, Illinois",2007-11-23,42.0415823,-87.8873916
2,10,Open 24/7,Studio Diner,"San Diego, California",2008-01-13,32.7174209,-117.1627714
2,10,Open 24/7,White Palace Grill,"Chicago, Illinois",2008-01-13,41.8755616,-87.6244212
2,10,Open 24/7,The Dining Car,"Philadelphia, Pennsylvania",2008-01-13,39.9527237,-75.1635262
2,11,Off the Hook Specials,Schooner or Later,"Long Beach, California",2008-01-20,33.7690164,-118.1916048
2,11,Off the Hook Specials,Grinders Pizza,"Kansas City, Missouri",2008-01-20,39.100105,-94.5781416
2,11,Off the Hook Specials,The Fly Trap,"Ferndale, Michigan",2008-01-20,42.4605917,-83.1346478
2,11,Off the Hook Specials,Galewood Cook Shack,"Chicago, Illinois",2008-01-20,41.8755616,-87.6244212
2,12,"Burgers, Rings and Fries",Joe's Cable Car,"San Francisco, California",2008-01-21,37.7790262,-122.4199061
2,12,"Burgers, Rings and Fries",The Nook,"St. Paul, Minnesota",2008-01-21,44.9504037,-93.1015026
2,12,"Burgers, Rings and Fries",Krazy Jim's Blimpy Burger,"Ann Arbor, Michigan",2008-01-21,42.2681569,-83.7312291
2,13,The New Jersey Diner Tour,Mustache Bill's,"Barnegat Light, New Jersey",2008-01-28,39.7576202,-74.1062466
2,13,The New Jersey Diner Tour,Tick Tock Diner,"Clifton, New Jersey",2008-01-28,40.8584328,-74.1637553
2,13,The New Jersey Diner Tour,White Manna Hamburgers,"Hackensack, New Jersey",2008-01-28,40.8871438,-74.0410865
2,13,The New Jersey Diner Tour,The Ritz Diner,"Livingston, New Jersey",2008-01-28,40.7959335,-74.3148713
2,13,The New Jersey Diner Tour,Hightstown Diner,"Hightstown, New Jersey",2008-01-28,40.2695538,-74.5232089
2,13,The New Jersey Diner Tour,Skylark Diner,"Edison, New Jersey",2008-01-28,40.5382375,-74.39451734508772
2,13,The New Jersey Diner Tour,Jefferson Diner,"Lake Hopatcong, New Jersey",2008-01-28,40.904011,-74.665452
3,1,Big Breakfast,Brownstone Diner,"Jersey City, New Jersey",2008-03-10,40.7281575,-74.0776417
3,1,Big Breakfast,39th Street Mama's,"Kansas City, Missouri",2008-03-10,39.100105,-94.5781416
3,1,Big Breakfast,Matt's Big Breakfast,"Phoenix, Arizona",2008-03-10,33.4484367,-112.0741417
3,2,Like Mama Made,Roberto's Mexican Food,"Phoenix, Arizona",2008-03-17,33.4484367,-112.0741417
3,2,Like Mama Made,Smokey Valley Truck Stop,"Olive Hill, Kentucky",2008-03-17,38.3000809,-83.1740654
3,2,Like Mama Made,Sweetie Pie's,"St. Louis, Missouri",2008-03-17,38.6529545,-90.24111656024635
3,3,Regional Favorites,Charlie Parker's,"Springfield, Illinois",2008-03-24,39.7990175,-89.6439575
