season,episode,title,restaurant,location,air_date
1,1,Classics,Mac & Ernie's Roadside Eatery,"Tarpley, Texas",2007-04-23
1,1,Classics,Brint's Diner,"Wichita, Kansas",2007-04-23
1,1,Classics,The Mad Greek Cafe,"Baker, California",2007-04-23
1,2,That's Italian,Pizza Palace,"Knoxville, Tennessee",2007-04-30
1,2,That's Italian,Hullabaloo Diner,"Wellborn, Texas",2007-04-30
1,2,That's Italian,Four Kegs Sports Pub,"Las Vegas, Nevada",2007-04-30
1,3,Blue Plate Special,Patrick's Roadhouse,"Santa Monica, California",2007-05-07
1,3,Blue Plate Special,Frosted Mug,"Alsip, Illinois",2007-05-07
1,3,Blue Plate Special,The Penguin,"Charlotte, North Carolina",2007-05-07
1,4,Breakfast,Frank's Diner,"Kenosha, Wisconsin",2007-05-21
1,4,Breakfast,Gaffey Street Diner,"San Pedro, California",2007-05-21
1,4,Breakfast,The Coffee Cup,"Boulder City, Nevada",2007-05-21
1,5,BBQ,Baby Blues BBQ,"Venice, California",2007-05-28
1,5,BBQ,Louie Mueller BBQ,"Taylor, Texas",2007-05-28
1,5,BBQ,Barbecue King Drive-In,"Charlotte, North Carolina",2007-05-28
1,6,Local Legends,Eveready Diner,"Hyde Park, New York",2007-06-04
1,6,Local Legends,Leo's BBQ,"Oklahoma City, Oklahoma",2007-06-04
1,6,Local Legends,A1 Diner,"Gardiner, Maine",2007-06-04
1,7,Burgers,Triple XXX Restaurant,"West Lafayette, Indiana",2007-06-11
1,7,Burgers,Hackney's,"Glenview, Illinois",2007-06-11
1,7,Burgers,Squeeze Inn,"Sacramento, California",2007-06-11
1,8,House Specials,Red Arrow Diner,"Manchester, New Hampshire",2007-06-18
1,8,House Specials,Hank's Creekside Restaurant,"Santa Rosa, California",2007-06-18
1,8,House Specials,Voula's Offshore Café,"Seattle, Washington",2007-06-18
1,9,Retro,South Side Soda Shop and Diner,"Goshen, Indiana",2007-07-09
1,9,Retro,Taylor's Automatic Refresher,"St. Helena, California",2007-07-09
1,9,Retro,Byways Café,"Portland, Oregon",2007-07-09
1,10,Worth the Trip,Big Star Diner,"Bainbridge Island, Washington",2007-07-16
1,10,Worth the Trip,Harold's Café,"Gaffney, South Carolina",2007-07-16
1,10,Worth the Trip,Mo Gridder's BBQ,"Bronx, New York",2007-07-16
1,11,Diners A-Plenty,Kelly's Diner,"Somerville, Massachusetts",2007-07-23
1,11,Diners A-Plenty,Bay Way Diner,"Linden, New Jersey",2007-07-23
1,11,Diners A-Plenty,Beacon Drive-In,"Spartanburg, South Carolina",2007-07-23
1,12,American Cookin' ,Rosie's Diner,"Rockford, Michigan",2007-07-30
1,12,American Cookin' ,Dari-ette Drive-In,"St. Paul, Minnesota",2007-07-30
1,12,American Cookin' ,The Russian River Pub,"Forestville, California",2007-07-30
1,12,American Cookin' ,Al's Breakfast,"Minneapolis, Minnesota",2007-07-30
2,1,Totally Fried,Falafel's Drive-In,"San Jose, California",2007-10-01
2,1,Totally Fried,Ramona Café,"Ramona, California",2007-10-01
2,1,Totally Fried,Silk City Diner,"Philadelphia, Pennsylvania",2007-10-01
2,2,Route 66,Emma Jean's Holland Burger Café,"Victorville, California",2007-10-08
2,2,Route 66,The Rock Café,"Stroud, Oklahoma",2007-10-08
2,2,Route 66,Café on the Route,"Baxter Springs, Kansas",2007-10-08
2,3,Seaside Eats,Evelyn's Drive-In,"Tiverton, Rhode Island",2007-10-15
2,3,Seaside Eats,Hodad's,"Ocean Beach, California",2007-10-15
2,3,Seaside Eats,Keegan's Seafood Grille,"Indian Rocks Beach, Florida",2007-10-15
2,4,Local Flavors,Clanton's Café,"Vinita, Oklahoma",2007-10-22
2,4,Local Flavors,Mike's Chili Parlor,"Seattle, Washington",2007-10-22
2,4,Local Flavors,Duarte's Tavern,"Pescadero, California",2007-10-22
2,5,Viewer's Choice,Bobby's Hawaiian Style Restaurant,"Everett, Washington",2007-10-29
2,5,Viewer's Choice,Ted Peters Famous Smoked Fish,"South Pasadena, Florida",2007-10-29
2,5,Viewer's Choice,Psycho Suzie's Motor Lounge,"Minneapolis, Minnesota",2007-10-29
2,6,Real Deal BBQ,Jay Bee's Bar-B-Que,"Gardena, California",2007-11-05
2,6,Real Deal BBQ,Smoque,"Chicago, Illinois",2007-11-05
2,6,Real Deal BBQ,BBQ Shack,"Paola, Kansas",2007-11-05
2,7,Talkin' Turkey,Mike's City Diner,"Boston, Massachusetts",2007-11-10
2,7,Talkin' Turkey,Willie Bird's Restaurant,"Santa Rosa, California",2007-11-10
2,7,Talkin' Turkey,Alpine Steakhouse,"Sarasota, Florida",2007-11-10
2,8,One of a Kind,JT Farnham's Seafood & Grill,"Essex, Massachusetts",2007-11-19
2,8,One of a Kind,Joe's Gizzard City,"Potterville, Michigan",2007-11-19
2,8,One of a Kind,Grubstake Diner,"San Francisco, California",2007-11-19
2,8,One of a Kind,Los Tapatios,"San Jose, California",2007-11-19
2,9,Family Owned,El Indio,"San Diego, California",2007-11-23
2,9,Family Owned,Charlie's Diner,"Spencer, Massachusetts",2007-11-23
2,9,Family Owned,Paradise Pup,"Des Plaines, Illinois",2007-11-23
2,10,Open 24/7,Studio Diner,"San Diego, California",2008-01-13
2,10,Open 24/7,White Palace Grill,"Chicago, Illinois",2008-01-13
2,10,Open 24/7,The Dining Car,"Philadelphia, Pennsylvania",2008-01-13
2,11,Off the Hook Specials,Schooner or Later,"Long Beach, California",2008-01-20
2,11,Off the Hook Specials,Grinders Pizza,"Kansas City, Missouri",2008-01-20
2,11,Off the Hook Specials,The Fly Trap,"Ferndale, Michigan",2008-01-20
2,11,Off the Hook Specials,Galewood Cook Shack,"Chicago, Illinois",2008-01-20
2,12,"Burgers, Rings and Fries",Joe's Cable Car,"San Francisco, California",2008-01-21
2,12,"Burgers, Rings and Fries",The Nook,"St. Paul, Minnesota",2008-01-21
2,12,"Burgers, Rings and Fries",Krazy Jim's Blimpy Burger,"Ann Arbor, Michigan",2008-01-21
2,13,The New Jersey Diner Tour,Mustache Bill's,"Barnegat Light, New Jersey",2008-01-28
2,13,The New Jersey Diner Tour,Tick Tock Diner,"Clifton, New Jersey",2008-01-28
2,13,The New Jersey Diner Tour,White Manna Hamburgers,"Hackensack, New Jersey",2008-01-28
2,13,The New Jersey Diner Tour,The Ritz Diner,"Livingston, New Jersey",2008-01-28
2,13,The New Jersey Diner Tour,Hightstown Diner,"Hightstown, New Jersey",2008-01-28
2,13,The New Jersey Diner Tour,Skylark Diner,"Edison, New Jersey",2008-01-28
2,13,The New Jersey Diner Tour,Jefferson Diner,"Lake Hopatcong, New Jersey",2008-01-28
3,1,Big Breakfast,Brownstone Diner,"Jersey City, New Jersey",2008-03-10
